trip_id,start_time,end_time,usertype,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,gender,birthyear,day_of_week,ride_length_minutes
22156030,2019-03-28 13:33:08.000000 UTC,2019-03-28 14:00:56.000000 UTC,Customer,1214,1668.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Female,2000,5,27
22045529,2019-03-13 17:22:27.000000 UTC,2019-03-13 17:50:29.000000 UTC,Customer,4512,1682.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,4,28
22144945,2019-03-27 13:52:19.000000 UTC,2019-03-27 14:23:22.000000 UTC,Customer,5128,1863.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,4,31
22072010,2019-03-17 17:14:04.000000 UTC,2019-03-17 17:39:33.000000 UTC,Customer,2099,1529.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,25
21991874,2019-03-03 12:42:43.000000 UTC,2019-03-03 12:52:12.000000 UTC,Customer,2796,569.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,9
22158480,2019-03-28 16:54:08.000000 UTC,2019-03-28 17:21:44.000000 UTC,Customer,3199,1656.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,5,27
22085901,2019-03-19 14:39:19.000000 UTC,2019-03-19 15:03:42.000000 UTC,Customer,2242,1463.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,3,24
22040336,2019-03-12 21:07:50.000000 UTC,2019-03-12 22:04:18.000000 UTC,Customer,4398,3388.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,3,56
22072020,2019-03-17 17:15:47.000000 UTC,2019-03-17 17:40:14.000000 UTC,Customer,2272,1467.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,24
22072268,2019-03-17 17:50:51.000000 UTC,2019-03-17 17:56:26.000000 UTC,Customer,5544,335.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Male,2002,1,5
22055595,2019-03-14 19:45:52.000000 UTC,2019-03-14 20:43:41.000000 UTC,Customer,1856,3469.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,5,57
21992547,2019-03-03 16:41:28.000000 UTC,2019-03-03 17:05:35.000000 UTC,Customer,2663,1447.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,24
22118596,2019-03-23 16:36:21.000000 UTC,2019-03-23 17:06:34.000000 UTC,Subscriber,275,1813.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Male,1994,7,30
22064286,2019-03-16 11:42:01.000000 UTC,2019-03-16 13:45:22.000000 UTC,Customer,5044,7401.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,7,123
21779616,2019-01-07 21:26:28.000000 UTC,2019-01-07 22:26:57.000000 UTC,Customer,4457,3629.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,2,60
22064289,2019-03-16 11:42:27.000000 UTC,2019-03-16 13:45:11.000000 UTC,Customer,4264,7364.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,7,122
21765035,2019-01-05 12:17:35.000000 UTC,2019-01-05 13:51:12.000000 UTC,Customer,2760,5617.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,7,93
22040337,2019-03-12 21:07:53.000000 UTC,2019-03-12 22:04:18.000000 UTC,Customer,4529,3385.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,3,56
21759125,2019-01-04 14:10:54.000000 UTC,2019-01-04 14:38:56.000000 UTC,Customer,5272,1682.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,6,28
22015406,2019-03-08 13:58:57.000000 UTC,2019-03-08 14:25:19.000000 UTC,Customer,6311,1582.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Female,2000,6,26
22156043,2019-03-28 13:34:35.000000 UTC,2019-03-28 14:00:05.000000 UTC,Customer,2591,1530.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Female,2000,5,25
22040337,2019-03-12 21:07:53.000000 UTC,2019-03-12 22:04:18.000000 UTC,Customer,4529,3385.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,3,56
22085904,2019-03-19 14:39:29.000000 UTC,2019-03-19 15:03:35.000000 UTC,Customer,6109,1446.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,3,24
22156030,2019-03-28 13:33:08.000000 UTC,2019-03-28 14:00:56.000000 UTC,Customer,1214,1668.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Female,2000,5,27
22117552,2019-03-23 15:16:02.000000 UTC,2019-03-23 15:58:42.000000 UTC,Customer,1943,2560.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,7,42
22117557,2019-03-23 15:16:31.000000 UTC,2019-03-23 15:58:34.000000 UTC,Customer,3822,2523.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,7,42
22148542,2019-03-27 17:42:19.000000 UTC,2019-03-27 17:56:37.000000 UTC,Subscriber,2293,858.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Male,1994,4,14
22158480,2019-03-28 16:54:08.000000 UTC,2019-03-28 17:21:44.000000 UTC,Customer,3199,1656.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,5,27
21759126,2019-01-04 14:11:12.000000 UTC,2019-01-04 14:38:56.000000 UTC,Customer,3335,1664.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,6,27
22072290,2019-03-17 17:55:00.000000 UTC,2019-03-17 18:13:38.000000 UTC,Customer,719,1118.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,18
22123529,2019-03-24 14:47:43.000000 UTC,2019-03-24 16:09:28.000000 UTC,Customer,3190,4905.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,81
21758022,2019-01-04 11:16:03.000000 UTC,2019-01-04 11:37:51.000000 UTC,Customer,6439,1308.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,6,21
22023126,2019-03-10 16:43:33.000000 UTC,2019-03-10 18:43:27.000000 UTC,Customer,5177,7194.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,119
22072029,2019-03-17 17:17:07.000000 UTC,2019-03-17 17:40:14.000000 UTC,Customer,719,1387.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,23
22027692,2019-03-11 14:59:10.000000 UTC,2019-03-11 15:16:35.000000 UTC,Customer,2915,1045.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,2,17
22144945,2019-03-27 13:52:19.000000 UTC,2019-03-27 14:23:22.000000 UTC,Customer,5128,1863.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,4,31
22072280,2019-03-17 17:53:45.000000 UTC,2019-03-17 18:13:15.000000 UTC,Customer,5788,1170.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,19
21991871,2019-03-03 12:42:16.000000 UTC,2019-03-03 12:51:32.000000 UTC,Customer,4896,556.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,9
22066951,2019-03-16 17:58:08.000000 UTC,2019-03-16 18:13:17.000000 UTC,Customer,1218,909.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,7,15
21744139,2019-01-01 20:37:48.000000 UTC,2019-01-01 20:40:17.000000 UTC,Subscriber,3079,149.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Female,1992,3,2
22072268,2019-03-17 17:50:51.000000 UTC,2019-03-17 17:56:26.000000 UTC,Customer,5544,335.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Male,2002,1,5
22117761,2019-03-23 15:33:29.000000 UTC,2019-03-23 16:35:08.000000 UTC,Subscriber,275,3699.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Male,1994,7,61
22156742,2019-03-28 14:52:28.000000 UTC,2019-03-28 15:15:36.000000 UTC,Customer,3746,1388.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),,,5,23
21901676,2019-02-09 14:20:53.000000 UTC,2019-02-09 14:36:29.000000 UTC,Customer,1442,936.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Female,1994,7,15
21929752,2019-02-16 11:45:19.000000 UTC,2019-02-16 11:54:12.000000 UTC,Subscriber,391,533.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Male,1977,7,8
22022472,2019-03-10 13:54:14.000000 UTC,2019-03-10 14:24:52.000000 UTC,Customer,6200,1838.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),,,1,30
21901680,2019-02-09 14:22:34.000000 UTC,2019-02-09 14:36:44.000000 UTC,Customer,716,850.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Female,1995,7,14
22022473,2019-03-10 13:54:19.000000 UTC,2019-03-10 14:24:52.000000 UTC,Customer,2915,1833.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),,,1,30
22156742,2019-03-28 14:52:28.000000 UTC,2019-03-28 15:15:36.000000 UTC,Customer,3746,1388.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),,,5,23
22136136,2019-03-26 13:39:34.000000 UTC,2019-03-26 13:49:42.000000 UTC,Customer,2453,608.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),,,3,10
22085624,2019-03-19 13:56:41.000000 UTC,2019-03-19 14:03:35.000000 UTC,Customer,1125,414.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Male,1998,3,6
22085628,2019-03-19 13:56:59.000000 UTC,2019-03-19 14:03:43.000000 UTC,Customer,2491,404.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Male,1999,3,6
21929752,2019-02-16 11:45:19.000000 UTC,2019-02-16 11:54:12.000000 UTC,Subscriber,391,533.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Male,1977,7,8
22085628,2019-03-19 13:56:59.000000 UTC,2019-03-19 14:03:43.000000 UTC,Customer,2491,404.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Male,1999,3,6
22136137,2019-03-26 13:39:40.000000 UTC,2019-03-26 13:49:42.000000 UTC,Customer,3700,602.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),,,3,10
22136136,2019-03-26 13:39:34.000000 UTC,2019-03-26 13:49:42.000000 UTC,Customer,2453,608.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),,,3,10
22022473,2019-03-10 13:54:19.000000 UTC,2019-03-10 14:24:52.000000 UTC,Customer,2915,1833.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),,,1,30
22085624,2019-03-19 13:56:41.000000 UTC,2019-03-19 14:03:35.000000 UTC,Customer,1125,414.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Male,1998,3,6
22136137,2019-03-26 13:39:40.000000 UTC,2019-03-26 13:49:42.000000 UTC,Customer,3700,602.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),,,3,10
